Estado,Anio,PIB,PIBperCapita,Poblacion
Nuevo León,2016,1257648.421,248061.4263,5069908
Nuevo León,2017,1306549.097,253941.47,5145080
Nuevo León,2018,1353874.513,259350.4072,5220253
Oaxaca,2003,202963.936,57828.36478,3509765
Oaxaca,2004,210757.192,59424.81896,3546619
Oaxaca,2005,213677.217,59628.51715,3583474
Oaxaca,2006,218023.575,60222.047,3620329
Oaxaca,2007,219815.363,60105.10686,3657183
Oaxaca,2008,226633.787,61351.24322,3694038
Oaxaca,2009,224510.705,60176.14688,3730892
Oaxaca,2010,228089.144,60537.28348,3767747
Oaxaca,2011,234955.838,61755.70727,3804602
Oaxaca,2012,239680.171,62393.05708,3841456
Oaxaca,2013,245515.976,63304.88039,3878311
Oaxaca,2014,250239.106,63915.34099,3915165
Oaxaca,2015,260612.907,65944.23444,3952020
Oaxaca,2016,256580.339,64323.99874,3988875
Oaxaca,2017,250518.62,62229.38316,4025729
Oaxaca,2018,260440.891,64107.21094,4062584
Puebla,2003,395907.258,75526.04769,5241997
Puebla,2004,405907.943,76250.89006,5323321
Puebla,2005,428179.294,79224.31134,5404646
Puebla,2006,447201.403,81517.29395,5485970
Puebla,2007,465818.722,83670.57831,5567295
Puebla,2008,468969.471,83023.74455,5648619
Puebla,2009,432578.676,75494.41014,5729944
Puebla,2010,469967.84,80871.82907,5811268
Puebla,2011,493353.224,83724.31305,5892593
Puebla,2012,524226.058,87752.4908,5973917
Puebla,2013,519256.535,85753.23948,6055242
Puebla,2014,526200.669,85748.39905,6136566
Puebla,2015,540604.128,86943.34059,6217890
Puebla,2016,555309.088,88155.29139,6299215
Puebla,2017,589080.273,92324.53194,6380539
Puebla,2018,603702.659,93425.47465,6461864
Querétaro,2003,212106.713,137688.4817,1540483
Querétaro,2004,227917.275,144388.1554,1578504
Querétaro,2005,243311.19,150514.9285,1616526
Querétaro,2006,258448.271,156204.887,1654547
Querétaro,2007,271622.051,160479.2565,1692568
Querétaro,2008,278348.405,160840.242,1730590
Querétaro,2009,270311.398,152838.2725,1768611
Querétaro,2010,287403.169,159082.2973,1806632
Querétaro,2011,308865.228,167438.0879,1844654
Querétaro,2012,318294.372,169064.9879,1882675
Querétaro,2013,319989.728,166600.9221,1920697
Querétaro,2014,342666.454,174944.3085,1958718
Querétaro,2015,362418.911,181505.4273,1996739
Querétaro,2016,377947.864,185745.6686,2034761
Querétaro,2017,395109.808,190618.177,2072782
Querétaro,2018,406635.649,192645.028,2110803
Quintana Roo,2003,144233.02,139718.0183,1032316
Quintana Roo,2004,156941.599,146095.1176,1074243
Quintana Roo,2005,163681.664,146645.806,1116171
Quintana Roo,2006,174364.522,150561.1634,1158098
Quintana Roo,2007,192904.582,160750.456,1200026
Quintana Roo,2008,203018.581,163467.2539,1241953
Quintana Roo,2009,185671.746,144617.668,1283881
Quintana Roo,2010,195148.828,147192.4192,1325808
Quintana Roo,2011,206053.849,150653.3312,1367736
Quintana Roo,2012,215709.871,153022.3409,1409663
Quintana Roo,2013,225272.667,155190.2751,1451591
Quintana Roo,2014,233252.369,156176.5117,1493518
Quintana Roo,2015,244081.496,158964.652,1535446
Quintana Roo,2016,261497.598,165780.4871,1577373
Quintana Roo,2017,272211.726,168104.557,1619301
Quintana Roo,2018,286095.168,172219.1276,1661228
San Luis Potosí,2003,224280.267,94144.14265,2382308
San Luis Potosí,2004,237464.465,98541.41897,2409794
San Luis Potosí,2005,247240.388,101441.1222,2437280
San Luis Potosí,2006,258649.446,104938.7448,2464766
San Luis Potosí,2007,264315.631,106054.9285,2492253
San Luis Potosí,2008,270024.005,107163.5041,2519739
San Luis Potosí,2009,255845.961,100441.0632,2547225
San Luis Potosí,2010,269397.22,104632.0228,2574711
San Luis Potosí,2011,283881.746,109093.0924,2602198
San Luis Potosí,2012,297293.962,113053.1335,2629684
San Luis Potosí,2013,307896.47,115873.8415,2657170
San Luis Potosí,2014,316716.343,117972.7825,2684657
San Luis Potosí,2015,329359.358,121438.819,2712143
San Luis Potosí,2016,342065.043,124858.1826,2739629
San Luis Potosí,2017,354677.904,128176.0704,2767115
San Luis Potosí,2018,370089.916,132430.3203,2794602
Sinaloa,2003,268247.066,103683.745,2587167
Sinaloa,2004,284658.629,108923.9809,2613370
Sinaloa,2005,285708.482,108240.4046,2639574
Sinaloa,2006,294951.695,110643.8025,2665777
Sinaloa,2007,305622.537,113530.7379,2691981
Sinaloa,2008,316380.798,116394.1732,2718185
Sinaloa,2009,303066.175,110431.2507,2744388
Sinaloa,2010,312655.113,112847.7887,2770592
Sinaloa,2011,318762.638,113974.2583,2796796
